province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Georgia,US,2020-08-04,34.88389445,-83.40304637,POINT(-83.40304637 34.88389445),5,0,0,0,13241,Rabun,"Rabun, Georgia, US"
Indiana,US,2020-08-04,40.76940965,-86.04525048,POINT(-86.04525048 40.76940965),12,0,0,0,18103,Miami,"Miami, Indiana, US"
Indiana,US,2020-08-04,39.16130004,-86.52414358,POINT(-86.52414358 39.16130004),60,0,0,0,18105,Monroe,"Monroe, Indiana, US"
Indiana,US,2020-08-04,40.04034823,-86.89335024,POINT(-86.89335024 40.04034823),17,0,0,0,18107,Montgomery,"Montgomery, Indiana, US"
Indiana,US,2020-08-04,38.955305,-84.96515993,POINT(-84.96515993 38.955305),1,0,0,0,18115,Ohio,"Ohio, Indiana, US"
Indiana,US,2020-08-04,39.31145587,-86.83900724,POINT(-86.83900724 39.31145587),17,0,0,0,18119,Owen,"Owen, Indiana, US"
Indiana,US,2020-08-04,39.77202286,-87.20375833,POINT(-87.20375833 39.77202286),5,0,0,0,18121,Parke,"Parke, Indiana, US"
Indiana,US,2020-08-04,41.45986947,-87.06848888,POINT(-87.06848888 41.45986947),85,0,0,0,18127,Porter,"Porter, Indiana, US"
Indiana,US,2020-08-04,38.02097333,-87.86480429,POINT(-87.86480429 38.02097333),5,0,0,0,18129,Posey,"Posey, Indiana, US"
Indiana,US,2020-08-04,41.04166107,-86.69890683,POINT(-86.69890683 41.04166107),1,0,0,0,18131,Pulaski,"Pulaski, Indiana, US"
Montana,US,2020-08-04,46.59907074,-110.8898557,POINT(-110.8898557 46.59907074),1,0,0,0,30059,Meagher,"Meagher, Montana, US"
Montana,US,2020-08-04,46.49684637,-108.39498,POINT(-108.39498 46.49684637),1,0,0,0,30065,Musselshell,"Musselshell, Montana, US"
Montana,US,2020-08-04,45.48965095,-110.5264394,POINT(-110.5264394 45.48965095),7,0,0,0,30067,Park,"Park, Montana, US"
Montana,US,2020-08-04,46.08520862,-114.1189164,POINT(-114.1189164 46.08520862),3,0,0,0,30081,Ravalli,"Ravalli, Montana, US"
Montana,US,2020-08-04,47.78668011,-104.5610786,POINT(-104.5610786 47.78668011),2,0,0,0,30083,Richland,"Richland, Montana, US"
Vermont,US,2020-08-04,44.00470222,-72.37640104,POINT(-72.37640104 44.00470222),4,0,0,0,50017,Orange,"Orange, Vermont, US"
Vermont,US,2020-08-04,44.82964024,-72.24562697,POINT(-72.24562697 44.82964024),8,0,0,0,50019,Orleans,"Orleans, Vermont, US"
Wyoming,US,2020-08-04,42.96180148,-106.797885,POINT(-106.797885 42.96180148),26,0,0,0,56025,Natrona,"Natrona, Wyoming, US"
Wyoming,US,2020-08-04,44.52157546,-109.5852825,POINT(-109.5852825 44.52157546),1,0,0,0,56029,Park,"Park, Wyoming, US"
Wyoming,US,2020-08-04,42.13299116,-104.966331,POINT(-104.966331 42.13299116),0,0,0,0,56031,Platte,"Platte, Wyoming, US"
Arkansas,US,2020-08-04,33.31403423,-93.89285258,POINT(-93.89285258 33.31403423),16,0,0,0,5091,Miller,"Miller, Arkansas, US"
Arkansas,US,2020-08-04,35.76271485,-90.0519437,POINT(-90.0519437 35.76271485),1,0,0,0,5093,Mississippi,"Mississippi, Arkansas, US"
Arkansas,US,2020-08-04,34.6815935,-91.20540287,POINT(-91.20540287 34.6815935),1,0,0,0,5095,Monroe,"Monroe, Arkansas, US"
Arkansas,US,2020-08-04,33.66340119,-93.30632432,POINT(-93.30632432 33.66340119),1,0,0,0,5099,Nevada,"Nevada, Arkansas, US"
Arkansas,US,2020-08-04,35.91947491,-93.21612969,POINT(-93.21612969 35.91947491),1,0,0,0,5101,Newton,"Newton, Arkansas, US"
Arkansas,US,2020-08-04,33.58839816,-92.87795984,POINT(-92.87795984 33.58839816),1,0,0,0,5103,Ouachita,"Ouachita, Arkansas, US"
Arkansas,US,2020-08-04,34.9459153,-92.94372564,POINT(-92.94372564 34.9459153),1,0,0,0,5105,Perry,"Perry, Arkansas, US"
Arkansas,US,2020-08-04,34.43268455,-90.84800154,POINT(-90.84800154 34.43268455),1,0,0,0,5107,Phillips,"Phillips, Arkansas, US"
Arkansas,US,2020-08-04,34.16250414,-93.65789349,POINT(-93.65789349 34.16250414),1,0,0,0,5109,Pike,"Pike, Arkansas, US"
Arkansas,US,2020-08-04,35.57433534,-90.66268713,POINT(-90.66268713 35.57433534),6,0,0,0,5111,Poinsett,"Poinsett, Arkansas, US"
Arkansas,US,2020-08-04,34.48254879,-94.22728802,POINT(-94.22728802 34.48254879),6,0,0,0,5113,Polk,"Polk, Arkansas, US"
Arkansas,US,2020-08-04,35.44871474,-93.03212219,POINT(-93.03212219 35.44871474),20,0,0,0,5115,Pope,"Pope, Arkansas, US"
Arkansas,US,2020-08-04,34.83624419,-91.55162157,POINT(-91.55162157 34.83624419),1,0,0,0,5117,Prairie,"Prairie, Arkansas, US"
Arkansas,US,2020-08-04,36.3415714,-91.02455531,POINT(-91.02455531 36.3415714),6,0,0,0,5121,Randolph,"Randolph, Arkansas, US"
Colorado,US,2020-08-04,39.01787888,-108.469799,POINT(-108.469799 39.01787888),32,0,0,0,8077,Mesa,"Mesa, Colorado, US"
Colorado,US,2020-08-04,37.66954283,-106.9281698,POINT(-106.9281698 37.66954283),2,0,0,0,8079,Mineral,"Mineral, Colorado, US"
Colorado,US,2020-08-04,40.61810999,-108.2070876,POINT(-108.2070876 40.61810999),3,0,0,0,8081,Moffat,"Moffat, Colorado, US"
Colorado,US,2020-08-04,40.2627981,-103.8093302,POINT(-103.8093302 40.2627981),23,0,0,0,8087,Morgan,"Morgan, Colorado, US"
Colorado,US,2020-08-04,37.9014485,-103.7173385,POINT(-103.7173385 37.9014485),4,0,0,0,8089,Otero,"Otero, Colorado, US"
Colorado,US,2020-08-04,38.14717457,-107.7675136,POINT(-107.7675136 38.14717457),3,0,0,0,8091,Ouray,"Ouray, Colorado, US"
Colorado,US,2020-08-04,39.120926,-105.7182065,POINT(-105.7182065 39.120926),5,0,0,0,8093,Park,"Park, Colorado, US"
Colorado,US,2020-08-04,40.59414277,-102.3577703,POINT(-102.3577703 40.59414277),4,0,0,0,8095,Phillips,"Phillips, Colorado, US"
Colorado,US,2020-08-04,39.97913541,-108.2179009,POINT(-108.2179009 39.97913541),1,0,0,0,8103,Rio Blanco,"Rio Blanco, Colorado, US"
Colorado,US,2020-08-04,37.5836865,-106.3847838,POINT(-106.3847838 37.5836865),5,0,0,0,8105,Rio Grande,"Rio Grande, Colorado, US"
Illinois,US,2020-08-04,40.23917274,-89.91824452,POINT(-89.91824452 40.23917274),3,0,0,0,17125,Mason,"Mason, Illinois, US"
Illinois,US,2020-08-04,37.22078441,-88.71036614,POINT(-88.71036614 37.22078441),2,0,0,0,17127,Massac,"Massac, Illinois, US"
Illinois,US,2020-08-04,40.02742725,-89.80246001,POINT(-89.80246001 40.02742725),2,0,0,0,17129,Menard,"Menard, Illinois, US"
Illinois,US,2020-08-04,41.20596782,-90.74290052,POINT(-90.74290052 41.20596782),2,0,0,0,17131,Mercer,"Mercer, Illinois, US"
Illinois,US,2020-08-04,39.64187451,-88.62099969,POINT(-88.62099969 39.64187451),2,0,0,0,17139,Moultrie,"Moultrie, Illinois, US"
Illinois,US,2020-08-04,42.04165196,-89.32184679,POINT(-89.32184679 42.04165196),12,0,0,0,17141,Ogle,"Ogle, Illinois, US"
Illinois,US,2020-08-04,40.01360584,-88.59319339,POINT(-88.59319339 40.01360584),4,0,0,0,17147,Piatt,"Piatt, Illinois, US"
Illinois,US,2020-08-04,39.62265059,-90.8877017,POINT(-90.8877017 39.62265059),1,0,0,0,17149,Pike,"Pike, Illinois, US"
Illinois,US,2020-08-04,38.05095369,-89.82512254,POINT(-89.82512254 38.05095369),31,0,0,0,17157,Randolph,"Randolph, Illinois, US"
Illinois,US,2020-08-04,38.71240969,-88.08475366,POINT(-88.08475366 38.71240969),1,0,0,0,17159,Richland,"Richland, Illinois, US"
Kentucky,US,2020-08-04,38.59471935,-83.82151043,POINT(-83.82151043 38.59471935),2,0,0,0,21161,Mason,"Mason, Kentucky, US"
Kentucky,US,2020-08-04,36.73874143,-84.48102924,POINT(-84.48102924 36.73874143),1,0,0,0,21147,McCreary,"McCreary, Kentucky, US"
Kentucky,US,2020-08-04,37.96163597,-86.21028219,POINT(-86.21028219 37.96163597),2,0,0,0,21163,Meade,"Meade, Kentucky, US"
